type,name,latitude,longitude,city
heliport,Stillwater Medical Center Heliport,36.1152992249,-97.079498291,Stillwater
small_airport,Collins Landing Strip,44.7499008179,-120.200996399,Mitchell
heliport,S & C Distribution Center Heliport,39.8792991638,-75.2287979126,Philadelphia
heliport,Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,Exton
heliport,Emergency Helipad,34.8405990601,-82.6069030762,Easley
heliport,Cheyenne River Health Center Heliport,44.993124,-101.243011,Eagle Butte
heliport,Capitol National Bank Building Heliport,30.2710416667,-97.7446975708,Austin
heliport,Veterans Affairs Medical Center Heliport,29.7001991272,-95.3873977661,Houston
small_airport,Hensley Airpark,36.1833000183,-82.6789016724,Chuckey
heliport,Hummingbird Heliport,30.5534992218,-97.6061019897,Hutto
small_airport,Pocock Airport,31.7322006226,-97.3688964844,China Spring
small_airport,Navajo Mountain Airport,37.0083007812,-110.794998169,Navajo Mountain Trdng Post
small_airport,Saguache Municipal Airport,38.0990833,-106.1743889,Saguache
heliport,Russell County Medical Center Heliport,36.898,-82.078,Lebanon
small_airport,Manquin Flight Park Ultralightport,37.7144012451,-77.2117996216,Manquin
small_airport,Lightning Bolt Field Airport,44.4011001587,-72.2636032104,Cabot
small_airport,Field of Dreams Airport,46.0228004456,-92.895401001,Hinckley
small_airport,Ox Meadows Airport,47.5817985535,-117.43699646,Spokane
small_airport,Dutch Gap Airstrip,42.523399353,-88.0167007446,Bristol
small_airport,Stillwater Creek Airport,46.963889,-119.641667,Royal City
heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.6536111111,-79.9561111111,Morgantown
closed,Schmidts Heliport,32.5821,-97.142502,Mansfield
small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,Palmer
heliport,Allen Stagefield Army Heliport,31.2311992645,-85.6496963501,Fort Rucker/Wicksburg
small_airport,Ozark Skies Airpark,36.000633,-93.57025,Kingston
heliport,Yuma Regional Medical Center Heliport,32.682800293,-114.634002686,Yuma
seaplane_base,Van Buren Seaplane Base,47.158901,-67.931999,Van Buren
heliport,Lost Hills Sheriff's Station Heliport,34.1377983093,-118.713996887,Calabasas
small_airport,Pope Valley Airport,38.6106987,-122.39099884,Pope Valley
small_airport,Rancho De Aereo Airport,40.2149839,-104.9844228,Mead
heliport,O And G Heliport,41.7737007141,-73.1162033081,Torrington
small_airport,Melanie's Airport,30.9188995361328,-86.2182998657227,Florala
heliport,Aventura Heliport,25.9608993530273,-80.1391983032227,North Miami Beach
small_airport,Charlton Strip,26.523099899292,-81.4083023071289,La Belle
small_airport,Raju Airport,32.0713996887207,-84.7144012451172,Richland
small_airport,Spotts Field,43.1375007629395,-93.0682983398438,Nora Springs
small_airport,Running Creek Ranch Airport,45.914101,-114.835999,Grangeville
small_airport,Reichhart Airport,41.0287017822266,-84.997200012207,New Haven
small_airport,Classic Landings Airport,41.1567001342773,-88.0167007446289,Bonfield
small_airport,Cooper Airport,39.6419982910156,-86.5042037963867,Belleville
small_airport,Hardy Airport,39.7258987426758,-89.2639999389649,Mount Auburn
small_airport,Darbro Field,37.2662010192871,-95.9591979980469,Elk City
small_airport,Cartersville Airport,37.53689957,-84.40720367,Berea
small_airport,Greg's Flying Service Airport,32.2653007507324,-91.6977996826172,Baskin
